video_id,class_id,gloss,subset,feature_path
00335,1283,abdomen,test,features_npy/00335.npy
00336,1283,abdomen,train,features_npy/00336.npy
00338,1283,abdomen,train,features_npy/00338.npy
00339,1283,abdomen,val,features_npy/00339.npy
00341,1283,abdomen,train,features_npy/00341.npy
00376,1284,able,test,features_npy/00376.npy
00377,1284,able,train,features_npy/00377.npy
00381,1284,able,train,features_npy/00381.npy
00382,1284,able,val,features_npy/00382.npy
00384,1284,able,train,features_npy/00384.npy
00414,180,about,train,features_npy/00414.npy
00415,180,about,train,features_npy/00415.npy
00416,180,about,train,features_npy/00416.npy
00421,180,about,val,features_npy/00421.npy
00426,180,about,train,features_npy/00426.npy
00430,1040,above,train,features_npy/00430.npy
00431,1040,above,val,features_npy/00431.npy
00433,1040,above,train,features_npy/00433.npy
00435,1040,above,train,features_npy/00435.npy
00583,1600,accent,train,features_npy/00583.npy
00584,1600,accent,train,features_npy/00584.npy
00585,1600,accent,train,features_npy/00585.npy
00586,1600,accent,train,features_npy/00586.npy
00592,471,accept,val,features_npy/00592.npy
00593,471,accept,train,features_npy/00593.npy
00594,471,accept,train,features_npy/00594.npy
00597,471,accept,train,features_npy/00597.npy
00599,471,accept,train,features_npy/00599.npy
00600,471,accept,val,features_npy/00600.npy
00603,471,accept,train,features_npy/00603.npy
00623,51,accident,train,features_npy/00623.npy
00624,51,accident,train,features_npy/00624.npy
00625,51,accident,test,features_npy/00625.npy
00626,51,accident,val,features_npy/00626.npy
00627,51,accident,val,features_npy/00627.npy
00628,51,accident,train,features_npy/00628.npy
00629,51,accident,train,features_npy/00629.npy
00631,51,accident,train,features_npy/00631.npy
00632,51,accident,train,features_npy/00632.npy
00633,51,accident,train,features_npy/00633.npy
00634,51,accident,test,features_npy/00634.npy
00639,51,accident,train,features_npy/00639.npy
00663,1041,accomplish,train,features_npy/00663.npy
00664,1041,accomplish,val,features_npy/00664.npy
00666,1041,accomplish,train,features_npy/00666.npy
00668,1041,accomplish,train,features_npy/00668.npy
00689,1285,accountant,test,features_npy/00689.npy
00690,1285,accountant,train,features_npy/00690.npy
00692,1285,accountant,val,features_npy/00692.npy
00694,1285,accountant,train,features_npy/00694.npy
00832,804,across,val,features_npy/00832.npy
00834,804,across,val,features_npy/00834.npy
00835,804,across,train,features_npy/00835.npy
00836,804,across,train,features_npy/00836.npy
00839,804,across,train,features_npy/00839.npy
00842,804,across,train,features_npy/00842.npy
